Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.197-76.76.21.9-24783-80-6,192.168.8.197,24783,76.76.21.9,80,6,17/10/2024 2:08,1007256,1,1,0,0,0,0,0,0,0,0,0,0,0,1.985592541,1007256,0,1007256,1007256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.99279627,0.99279627,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-30566-80-6,192.168.8.197,30566,76.76.21.9,80,6,17/10/2024 2:09,1011209,1,1,0,0,0,0,0,0,0,0,0,0,0,1.977830498,1011209,0,1011209,1011209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.988915249,0.988915249,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-15819-80-6,192.168.8.197,15819,76.76.21.9,80,6,17/10/2024 2:08,1004957,1,1,0,0,0,0,0,0,0,0,0,0,0,1.990134901,1004957,0,1004957,1004957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.995067451,0.995067451,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-21063-80-6,192.168.8.197,21063,76.76.21.9,80,6,17/10/2024 2:08,1007845,1,1,0,0,0,0,0,0,0,0,0,0,0,1.98443213,1007845,0,1007845,1007845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.992216065,0.992216065,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-26326-80-6,192.168.8.197,26326,76.76.21.9,80,6,17/10/2024 2:09,1000555,1,1,0,0,0,0,0,0,0,0,0,0,0,1.998890616,1000555,0,1000555,1000555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.999445308,0.999445308,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-35290-80-6,192.168.8.197,35290,76.76.21.9,80,6,17/10/2024 2:09,1002121,1,1,0,0,0,0,0,0,0,0,0,0,0,1.995766978,1002121,0,1002121,1002121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.997883489,0.997883489,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-27573-80-6,192.168.8.197,27573,76.76.21.9,80,6,17/10/2024 2:09,1012198,1,1,0,0,0,0,0,0,0,0,0,0,0,1.975897996,1012198,0,1012198,1012198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.987948998,0.987948998,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-23536-80-6,192.168.8.197,23536,76.76.21.9,80,6,17/10/2024 2:08,1009402,1,1,0,0,0,0,0,0,0,0,0,0,0,1.981371148,1009402,0,1009402,1009402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.990685574,0.990685574,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-36516-80-6,192.168.8.197,36516,76.76.21.9,80,6,17/10/2024 2:09,1002232,1,1,0,0,0,0,0,0,0,0,0,0,0,1.995545941,1002232,0,1002232,1002232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.997772971,0.997772971,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-25955-80-6,192.168.8.197,25955,76.76.21.9,80,6,17/10/2024 2:09,1006495,1,1,0,0,0,0,0,0,0,0,0,0,0,1.987093826,1006495,0,1006495,1006495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.993546913,0.993546913,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-20376-80-6,192.168.8.197,20376,76.76.21.9,80,6,17/10/2024 2:08,1003052,1,1,0,0,0,0,0,0,0,0,0,0,0,1.993914573,1003052,0,1003052,1003052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.996957286,0.996957286,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-36703-80-6,192.168.8.197,36703,76.76.21.9,80,6,17/10/2024 2:09,1000404,1,1,0,0,0,0,0,0,0,0,0,0,0,1.999192326,1000404,0,1000404,1000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.999596163,0.999596163,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-31738-80-6,192.168.8.197,31738,76.76.21.9,80,6,17/10/2024 2:09,1014099,1,1,0,0,0,0,0,0,0,0,0,0,0,1.972194036,1014099,0,1014099,1014099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.986097018,0.986097018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-19985-80-6,192.168.8.197,19985,76.76.21.9,80,6,17/10/2024 2:08,1012002,1,1,0,0,0,0,0,0,0,0,0,0,0,1.976280679,1012002,0,1012002,1012002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.98814034,0.98814034,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-28131-80-6,192.168.8.197,28131,76.76.21.9,80,6,17/10/2024 2:09,1012311,1,1,0,0,0,0,0,0,0,0,0,0,0,1.975677435,1012311,0,1012311,1012311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.987838718,0.987838718,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
192.168.8.197-76.76.21.9-30807-80-6,192.168.8.197,30807,76.76.21.9,80,6,17/10/2024 2:09,1004638,1,1,0,0,0,0,0,0,0,0,0,0,0,1.990766823,1004638,0,1004638,1004638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.995383412,0.995383412,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,Dos
