Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.197-44.241.66.173-59952-21-6,44.241.66.173,21,192.168.8.197,59952,6,17/10/2024 1:52,3134216,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,39.24426396,1.595295283,783554,1390492.79,2860357,289,2860805,2860805,0,2860805,2860805,273859,136929.5,193238.8483,273570,289,0,1,0,0,40,60,0.638118113,0.95717717,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59771-21-6,44.241.66.173,21,192.168.8.197,59771,6,17/10/2024 1:50,3270126,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,37.61322958,1.528993072,817531.5,1447554.783,2979192,458,2979650,2979650,0,2979650,2979650,290934,145467,205024.197,290441,493,0,1,0,0,40,60,0.611597229,0.917395843,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59738-21-6,44.241.66.173,21,192.168.8.197,59738,6,17/10/2024 1:50,3293906,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,37.34168492,1.517954671,823476.5,1464559.112,3011273,320,3011593,3011593,0,3011593,3011593,282633,141316.5,199321.3808,282258,375,0,1,0,0,40,60,0.607181869,0.910772803,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59801-21-6,44.241.66.173,21,192.168.8.197,59801,6,17/10/2024 1:51,3325901,2,3,56,64,34,22,28,8.485281374,40,10,21.33333333,16.28905563,36.08044858,1.503352024,831475.25,1482979.778,3047275,250,3047791,3047791,0,3047791,3047791,278626,139313,196664.7806,278376,250,0,1,0,0,40,60,0.60134081,0.902011214,10,40,26.66666667,13.185851,173.8666667,0,0,0,1,1,0,0,0,1,32,28,21.33333333,0,0,0,0,0,0,2,56,3,64,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59846-21-6,44.241.66.173,21,192.168.8.197,59846,6,17/10/2024 1:51,3391968,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,36.26213455,1.47407051,847992,1500357.073,3088321,254,3088575,3088575,0,3088575,3088575,303647,151823.5,214248.405,303320,327,0,1,0,0,40,60,0.589628204,0.884442306,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59899-21-6,44.241.66.173,21,192.168.8.197,59899,6,17/10/2024 1:51,3162806,2,3,56,66,34,22,28,8.485281374,40,12,22,15.62049935,38.57334278,1.580874704,790701.5,1400506.049,2882140,308,2882577,2882577,0,2882577,2882577,280666,140333,198025.2541,280358,308,0,1,0,0,40,60,0.632349882,0.948524823,12,40,27,12.6964562,161.2,0,0,0,1,1,0,0,0,1,32.4,28,22,0,0,0,0,0,0,2,56,3,66,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59729-21-6,44.241.66.173,21,192.168.8.197,59729,6,17/10/2024 1:50,4035422,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,30.48008362,1.239027789,1008855.5,1842622.81,3766266,229,3766495,3766495,0,3766495,3766495,269156,134578,189934.5383,268882,274,0,1,0,0,40,60,0.495611116,0.743416674,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-60021-21-6,44.241.66.173,21,192.168.8.197,60021,6,17/10/2024 1:52,3662101,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,33.58727681,1.365336456,915525.25,1648122.038,3379687,288,3380068,3380068,0,3380068,3380068,282414,141207,199289.561,282126,288,0,1,0,0,40,60,0.546134582,0.819201873,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59777-21-6,44.241.66.173,21,192.168.8.197,59777,6,17/10/2024 1:50,2786959,2,3,56,68,34,22,28,8.485281374,40,14,22.66666667,15.011107,44.49294015,1.794070168,696739.75,1224632.542,2524337,227,2524564,2524564,0,2524564,2524564,262622,131311,185246.4203,262300,322,0,1,0,0,40,60,0.717628067,1.076442101,14,40,27.33333333,12.24200419,149.8666667,0,0,0,1,1,0,0,0,1,32.8,28,22.66666667,0,0,0,0,0,0,2,56,3,68,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59924-21-6,44.241.66.173,21,192.168.8.197,59924,6,17/10/2024 1:52,3886514,2,3,56,78,34,22,28,8.485281374,40,14,26,13.11487705,34.4781982,1.286499933,971628.5,1762502.623,3608089,297,3608386,3608386,0,3608386,3608386,278425,139212.5,196450.5273,278124,301,0,1,0,0,40,60,0.514599973,0.77189996,14,40,29,10.63954886,113.2,0,0,0,1,1,0,0,0,1,34.8,28,26,0,0,0,0,0,0,2,56,3,78,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59732-21-6,44.241.66.173,21,192.168.8.197,59732,6,17/10/2024 1:50,3868954,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,31.79153849,1.292338963,967238.5,1750666.683,3585660,303,3585963,3585963,0,3585963,3585963,283294,141647,199470.5803,282694,600,0,1,0,0,40,60,0.516935585,0.775403378,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59840-21-6,44.241.66.173,21,192.168.8.197,59840,6,17/10/2024 1:51,2915537,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,42.1877685,1.714949939,728884.25,1281486.841,2641422,281,2642119,2642119,0,2642119,2642119,274115,137057.5,193431.1813,273834,281,0,1,0,0,40,60,0.685979976,1.028969963,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59893-21-6,44.241.66.173,21,192.168.8.197,59893,6,17/10/2024 1:51,3757902,2,3,56,68,34,22,28,8.485281374,40,14,22.66666667,15.011107,32.9971351,1.330529641,939475.5,1694415.665,3473180,394,3473574,3473574,0,3473574,3473574,284722,142361,200751.8578,284314,408,0,1,0,0,40,60,0.532211857,0.798317785,14,40,27.33333333,12.24200419,149.8666667,0,0,0,1,1,0,0,0,1,32.8,28,22.66666667,0,0,0,0,0,0,2,56,3,68,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-60026-21-6,44.241.66.173,21,192.168.8.197,60026,6,17/10/2024 1:52,3307046,2,3,56,69,34,22,28,8.485281374,40,14,23,14.73091986,37.79808324,1.51192333,826761.5,1458248.909,3003651,274,3003971,3003971,0,3003971,3003971,303395,151697.5,214145.1674,303121,274,0,1,0,0,40,60,0.604769332,0.907153998,14,40,27.5,12.02913131,144.7,0,0,0,1,1,0,0,0,1,33,28,23,0,0,0,0,0,0,2,56,3,69,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59776-21-6,44.241.66.173,21,192.168.8.197,59776,6,17/10/2024 1:50,3320970,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,37.03737161,1.505584212,830242.5,1489381.563,3056522,260,3056782,3056782,0,3056782,3056782,264448,132224,186619.6217,264184,264,0,1,0,0,40,60,0.602233685,0.903350527,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59770-21-6,44.241.66.173,21,192.168.8.197,59770,6,17/10/2024 1:50,3260193,2,3,56,65,34,22,28,8.485281374,40,11,21.66666667,15.94783162,37.11436716,1.533651535,815048.25,1447390.899,2976949,280,2977229,2977229,0,2977229,2977229,283244,141622,199637.4575,282787,457,0,1,0,0,40,60,0.613460614,0.920190921,11,40,26.83333333,12.93702696,167.3666667,0,0,0,1,1,0,0,0,1,32.2,28,21.66666667,0,0,0,0,0,0,2,56,3,65,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-60020-21-6,44.241.66.173,21,192.168.8.197,60020,6,17/10/2024 1:52,3843973,2,3,56,68,34,22,28,8.485281374,40,14,22.66666667,15.011107,32.2582911,1.300737544,960993.25,1742358.163,3567238,256,3567494,3567494,0,3567494,3567494,276735,138367.5,195272.4874,276446,289,0,1,0,0,40,60,0.520295018,0.780442527,14,40,27.33333333,12.24200419,149.8666667,0,0,0,1,1,0,0,0,1,32.8,28,22.66666667,0,0,0,0,0,0,2,56,3,68,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59884-21-6,44.241.66.173,21,192.168.8.197,59884,6,17/10/2024 1:51,3204290,2,3,56,67,34,22,28,8.485281374,40,13,22.33333333,15.30795,38.38603872,1.560408078,801072.5,1421836.832,2924704,294,2924998,2924998,0,2924998,2924998,279586,139793,197268.6498,279283,303,0,1,0,0,40,60,0.624163231,0.936244847,13,40,27.16666667,12.46461659,155.3666667,0,0,0,1,1,0,0,0,1,32.6,28,22.33333333,0,0,0,0,0,0,2,56,3,67,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-60027-21-6,44.241.66.173,21,192.168.8.197,60027,6,17/10/2024 1:52,3731491,2,3,56,69,34,22,28,8.485281374,40,14,23,14.73091986,33.49867385,1.339946954,932872.75,1683583.787,3450498,418,3450916,3450916,0,3450916,3450916,280993,140496.5,197960.9074,280476,517,0,1,0,0,40,60,0.535978782,0.803968173,14,40,27.5,12.02913131,144.7,0,0,0,1,1,0,0,0,1,33,28,23,0,0,0,0,0,0,2,56,3,69,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
192.168.8.197-44.241.66.173-59723-21-6,44.241.66.173,21,192.168.8.197,59723,6,17/10/2024 1:50,3046085,2,3,56,66,34,22,28,8.485281374,40,12,22,15.62049935,40.05141025,1.64145124,761521.25,1324186.648,2735736,303,2736039,2736039,0,2736039,2736039,310349,155174.5,218739.9472,309847,502,0,1,0,0,40,60,0.656580496,0.984870744,12,40,27,12.6964562,161.2,0,0,0,1,1,0,0,0,1,32.4,28,22,0,0,0,0,0,0,2,56,3,66,-1,513,2,0,0,0,0,0,0,0,0,0,FTPbruteforce
