Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.25.193-192.168.8.197-443-53902-6,192.168.8.197,53902,172.217.25.193,443,6,21/10/2024 1:53,5303439,26,18,1400,8431,1400,0,53.84615385,274.5625892,1400,0,468.3888889,677.8848713,1853.702852,8.296503457,123335.7907,767428.8168,5038023,0,5255218,210208.72,1016926.243,5090832,72,5303439,311967,1218078.902,5038023,0,0,0,0,0,532,396,4.902479316,3.394024142,0,1400,218.4666667,512.8621824,263027.6182,0,1,0,0,0,0,0,0,0,223.4318182,53.84615385,468.3888889,0,0,0,0,0,0,26,1400,18,8431,-1,1046,1,0,216949,0,216949,216949,5038023,0,5038023,5038023,Beningn
152.195.38.76-192.168.8.197-80-53896-6,192.168.8.197,53896,152.195.38.76,80,6,21/10/2024 1:52,194156,4,5,478,1473,240,0,119.5,137.98913,737,0,294.6,403.3978185,10048.6207,46.35447784,24269.5,23720.49353,52232,56,151551,50517,48316.51768,96357,56,141924,35481,24040.60436,53543,96,0,0,0,0,80,124,20.60199015,25.75248769,0,737,195.1,301.5642368,90940.98889,0,1,0,0,0,0,0,0,1,216.7777778,119.5,294.6,0,0,0,0,0,0,4,478,5,1473,-1,133,2,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-52.168.112.67-53883-443-6,192.168.8.197,53883,52.168.112.67,443,6,21/10/2024 1:52,554241,9,7,4200,4200,1400,0,466.6666667,700,1400,0,600,748.3314774,15155.8618,28.86830819,36949.4,82849.19609,270223,0,206844,25855.5,69287.69811,197190,0,554241,92373.5,139198.7992,272596,8,0,0,0,0,180,140,16.23842336,12.62988483,0,1400,494.1176471,689.6290563,475588.2353,0,0,0,0,1,0,0,0,0,525,466.6666667,600,0,0,0,0,0,0,9,4200,7,4200,-1,16384,3,0,0,0,0,0,0,0,0,0,Beningn
157.240.236.61-192.168.8.197-80-53880-6,157.240.236.61,80,192.168.8.197,53880,6,21/10/2024 1:52,29029,4,2,55,0,55,0,13.75,27.5,0,0,0,0,1894.657067,206.6898619,5805.8,5111.475296,10001,36,19646,6548.666667,5341.795797,10037,399,9419,9419,0,9419,9419,0,0,0,0,104,40,137.7932412,68.89662062,0,55,7.857142857,20.78804602,432.1428571,0,0,0,0,1,0,0,0,0,9.166666667,13.75,0,0,0,0,0,0,0,4,55,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,Beningn
142.251.223.67-192.168.8.197-443-53912-6,192.168.8.197,53912,142.251.223.67,443,6,21/10/2024 1:53,165525,5,6,1400,2800,1400,0,280,626.0990337,1400,0,466.6666667,722.9568913,25373.8106,66.45521824,16552.5,28551.84088,85921,0,127159,31789.75,40774.18076,85921,26,79545,15909,19232.86076,38260,0,0,0,0,0,100,144,30.20691738,36.24830086,0,1400,350,633.1738236,400909.0909,0,1,0,0,0,0,0,0,1,381.8181818,280,466.6666667,0,0,0,0,0,0,5,1400,6,2800,-1,1048,1,0,0,0,0,0,0,0,0,0,Beningn
142.251.223.74-192.168.8.197-443-53916-6,192.168.8.197,53916,142.251.223.74,443,6,21/10/2024 1:53,171523,7,10,1400,8400,1400,0,200,529.1502622,1400,0,840,722.9568913,57135.1947,99.11207243,10720.1875,23050.58554,82478,0,139034,23172.33333,35481.5615,82478,136,88893,9877,16676.69106,44486,0,0,0,0,0,140,236,40.81085335,58.30121908,0,1400,544.4444444,702.283856,493202.6144,0,1,0,0,0,0,0,0,1,576.4705882,200,840,0,0,0,0,0,0,7,1400,10,8400,-1,1047,1,0,0,0,0,0,0,0,0,0,Beningn
157.240.236.61-192.168.8.197-80-53900-6,192.168.8.197,53900,157.240.236.61,80,6,21/10/2024 1:52,19907576,330,293,39316,59990,1392,0,119.1393939,274.5024213,1392,0,204.7440273,461.5172706,4988.352173,31.29461869,32005.7492,167441.1862,1586008,0,1.99E+07,60418.7538,230838.0375,1586008,0,1.84E+07,63149.72603,240672.893,1670609,0,0,0,0,0,6648,6832,16.5766038,14.71801489,0,1392,159.1442308,376.1527878,141490.9198,0,1,0,0,0,0,0,0,0,159.399679,119.1393939,204.7440273,0,0,0,0,0,0,330,39316,293,59990,-1,803,261,0,0,0,0,0,0,0,0,0,Beningn
157.240.236.61-192.168.8.197-80-53900-6,157.240.236.61,80,192.168.8.197,53900,6,21/10/2024 1:53,177818,2,1,0,0,0,0,0,0,0,0,0,0,0,16.87118289,88909,79232.72905,144935,32883,144935,144935,0,144935,144935,0,0,0,0,0,0,0,0,0,40,20,11.24745526,5.623727632,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,803,0,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-216.58.199.238-53874-443-6,192.168.8.197,53874,216.58.199.238,443,6,21/10/2024 1:52,27154102,1,2,0,1,0,0,0,0,1,0,0.5,0.707106781,0.036826848,0.110480545,1.36E+07,1.92E+07,2.71E+07,27905,0,0,0,0,0,27905,27905,0,27905,27905,0,0,0,0,20,52,0.036826848,0.073653697,0,1,0.5,0.577350269,0.333333333,0,0,0,0,1,0,0,0,2,0.666666667,0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1046,0,0,0,0,0,0,0,0,0,0,Beningn
192.168.8.197-216.58.199.238-53910-443-6,192.168.8.197,53910,216.58.199.238,443,6,21/10/2024 1:53,57337,3,2,1400,0,1400,0,466.6666667,808.2903769,0,0,0,0,24417.0431,87.20372534,14334.25,20779.75713,44525,101,12711,6355.5,7348.960777,11552,1159,44525,44525,0,44525,44525,0,0,0,0,60,64,52.32223521,34.88149014,0,1400,233.3333333,571.5476066,326666.6667,0,1,0,0,0,0,0,0,0,280,466.6666667,0,0,0,0,0,0,0,3,1400,2,0,-1,65535,1,0,0,0,0,0,0,0,0,0,Beningn
