Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.197-76.76.21.9-41443-80-6,192.168.8.197,41443,76.76.21.9,80,6,17/10/2024 2:10,1003211,1,1,0,0,0,0,0,0,0,0,0,0,0,1.993598555,1003211,0,1003211,1003211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.996799278,0.996799278,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-41127-80-6,192.168.8.197,41127,76.76.21.9,80,6,17/10/2024 2:10,1005591,1,1,0,0,0,0,0,0,0,0,0,0,0,1.988880171,1005591,0,1005591,1005591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.994440085,0.994440085,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-15449-80-6,192.168.8.197,15449,76.76.21.9,80,6,17/10/2024 2:08,3010305,2,1,0,0,0,0,0,0,0,0,0,0,0,0.996576759,1505152.5,705884.1936,2004288,1006017,2004288,2004288,0,2004288,2004288,0,0,0,0,0,0,0,0,0,64,32,0.664384506,0.332192253,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-29676-80-6,192.168.8.197,29676,76.76.21.9,80,6,17/10/2024 2:09,1003202,1,1,0,0,0,0,0,0,0,0,0,0,0,1.99361644,1003202,0,1003202,1003202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.99680822,0.99680822,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-32612-80-6,192.168.8.197,32612,76.76.21.9,80,6,17/10/2024 2:09,1001900,1,1,0,0,0,0,0,0,0,0,0,0,0,1.996207206,1001900,0,1001900,1001900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.998103603,0.998103603,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-21864-80-6,192.168.8.197,21864,76.76.21.9,80,6,17/10/2024 2:08,1011776,1,1,0,0,0,0,0,0,0,0,0,0,0,1.97672212,1011776,0,1011776,1011776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.98836106,0.98836106,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-38881-80-6,192.168.8.197,38881,76.76.21.9,80,6,17/10/2024 2:09,1007128,1,1,0,0,0,0,0,0,0,0,0,0,0,1.985844898,1007128,0,1007128,1007128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.992922449,0.992922449,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-17624-80-6,192.168.8.197,17624,76.76.21.9,80,6,17/10/2024 2:08,999992,1,1,0,0,0,0,0,0,0,0,0,0,0,2.000016,999992,0,999992,999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.000008,1.000008,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-76.76.21.9-18738-80-6,192.168.8.197,18738,76.76.21.9,80,6,17/10/2024 2:08,1014246,1,1,0,0,0,0,0,0,0,0,0,0,0,1.971908196,1014246,0,1014246,1014246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.985954098,0.985954098,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,malicious
192.168.8.197-44.241.66.173-59843-21-6,44.241.66.173,21,192.168.8.197,59843,6,17/10/2024 1:51,3098835,2,3,56,65,34,22,28,8.485281374,40,11,21.66666667,15.94783162,39.04693215,1.613509593,774708.75,1360882.795,2805576,422,2805998,2805998,0,2805998,2805998,293259,146629.5,206615.8944,292729,530,0,1,0,0,40,60,0.645403837,0.968105756,11,40,26.83333333,12.93702696,167.3666667,0,0,0,1,1,0,0,0,1,32.2,28,21.66666667,0,0,0,0,0,0,2,56,3,65,-1,513,2,0,0,0,0,0,0,0,0,0,malicious
